State,Incident Date,# Killed,Age
Maine,"July 24, 2018",1,Child
California,"July 20, 2018",1,Child
Indiana,"July 13, 2018",1,Child
Texas,"July 10, 2018",1,Child
Texas,"July 8, 2018",1,Child
Georgia,"July 7, 2018",1,Child
California,"July 7, 2018",1,Child
Louisiana,"July 5, 2018",1,Child
Missouri,"July 2, 2018",1,Child
Missouri,"June 26, 2018",1,Child
Louisiana,"June 23, 2018",1,Child
Missouri,"June 12, 2018",1,Child
Mississippi,"June 7, 2018",1,Child
Kentucky,"June 5, 2018",1,Child
Ohio,"June 4, 2018",1,Child
Nevada,"May 30, 2018",1,Child
Utah,"May 26, 2018",1,Child
Virginia,"May 22, 2018",1,Child
Virginia,"May 22, 2018",1,Child
Minnesota,"May 16, 2018",1,Child
Virginia,"May 7, 2018",1,Child
South Carolina,"May 4, 2018",1,Child
Ohio,"April 20, 2018",1,Child
Indiana,"April 15, 2018",1,Child
Missouri,"March 31, 2018",1,Child
Alaska,"March 25, 2018",1,Child
Texas,"March 21, 2018",1,Child
Alabama,"March 12, 2018",1,Child
Louisiana,"March 12, 2018",1,Child
Alabama,"March 12, 2018",1,Child
Wisconsin,"March 10, 2018",1,Child
Colorado,"March 2, 2018",1,Child
Alabama,"February 20, 2018",1,Child
Alabama,"February 8, 2018",1,Child
Texas,"January 28, 2018",1,Child
Texas,"January 27, 2018",1,Child
Florida,"January 26, 2018",1,Child
Texas,"January 24, 2018",1,Child
California,"January 20, 2018",1,Child
Alabama,"January 1, 2018",1,Child
Alabama,"December 28, 2017",1,Child
Maryland,"December 22, 2017",1,Child
Utah,"December 10, 2017",1,Child
Michigan,"December 6, 2017",1,Child
Alaska,"December 5, 2017",1,Child
Texas,"November 18, 2017",1,Child
Tennessee,"November 10, 2017",1,Child
Pennsylvania,"November 9, 2017",1,Child
Louisiana,"November 2, 2017",1,Child
New York,"October 20, 2017",1,Child
South Carolina,"October 17, 2017",1,Child
Illinois,"October 14, 2017",1,Child
North Carolina,"October 8, 2017",1,Child
Arkansas,"October 6, 2017",1,Child
Florida,"October 3, 2017",1,Child
Mississippi,"October 2, 2017",1,Child
Georgia,"October 1, 2017",1,Child
South Carolina,"October 1, 2017",1,Child
Texas,"September 30, 2017",1,Child
Texas,"September 28, 2017",1,Child
Ohio,"September 28, 2017",1,Child
Missouri,"September 23, 2017",1,Child
Missouri,"September 23, 2017",1,Child
Kansas,"September 22, 2017",1,Child
South Carolina,"September 15, 2017",1,Child
Florida,"September 14, 2017",1,Child
Ohio,"September 10, 2017",1,Child
South Carolina,"September 6, 2017",2,Child
Mississippi,"September 3, 2017",1,Child
Texas,"September 2, 2017",1,Child
Mississippi,"August 30, 2017",1,Child
Maine,"August 28, 2017",1,Child
Texas,"August 28, 2017",1,Child
New York,"August 21, 2017",1,Child
Tennessee,"August 20, 2017",1,Child
Missouri,"August 20, 2017",1,Child
Tennessee,"August 19, 2017",1,Child
Alaska,"August 16, 2017",1,Child
Pennsylvania,"August 9, 2017",1,Child
Wisconsin,"August 8, 2017",1,Child
Missouri,"August 6, 2017",1,Child
